außen,äußerer,am äußersten,esterno,external,2
ander,anderer,am andersten,altro,other,2
mild,milder,am mildesten,mite,gentleness,2
sicher,sicherer,am sichersten,sicuro,safe,3
vorig,voriger,-,precedente,previous,2
dünn,dünner,am dünnsten,sottile,thin,1
britisch,britischer,am britischsten,britannico,British,3
blind,blinder,am blindesten,cieco,blind,2
einheitlich,einheitlicher,am einheitlichsten,unitario,unitary,3
kulturell,kultureller,am kulturellsten,culturale,cultural,3
künstlerisch,künstlerischer,am künstlerischsten,artistico,artistic,3
sanft,sanfter,am sanftesten,dolce/gentile,sweet/kind,2
israelisch,israelischer,am israelischsten,israeliano,Israeli,3
link,linker,am linkesten,sinistro,unfortunate,2
recht,rechter,am rechtesten,destro,right-handed,2
äußer,äußerer,am äußersten,estremo,extreme,2
offen,offener,am offensten,aperto,open,2
schlecht,schlechter,am schlechtesten,cattivo,bad,1
militärisch,militärischer,am militärischsten,militare,military,3
fest,fester,am festesten,fisso/solido,firm/solid,2
schmal,schmaler,am schmalsten,stretto,narrow,3
dick,dicker,am dicksten,grosso/spesso,"big, often, frequently",1
kirchlich,kirchlicher,am kirchlichsten,ecclesiastico,ecclesiastical,3
scharf,schärfer,am schärfsten,affilato/piccante,sharp/spicy,2
breit,breiter,am breitesten,largo,wide,1
niedrig,niedriger,am niedrigsten,basso,low,1
warm,wärmer,am wärmsten,caldo,hot,1
süß,süßer,am süßesten,dolce,sweet,2
offiziell,offizieller,am offiziellsten,ufficiale,official,3
wild,wilder,am wildesten,selvaggio,wild,2
leer,leerer,am leersten,vuoto,empty,1
normal,normaler,am normalsten,normale,normal,3
nächst,nächster,-,prossimo,next,3
rein,reiner,am reinsten,puro,pure,2
hart,härter,am härtesten,duro,hard,1
regional,regionaler,am regionalsten,regionale,regional,3
sogenannt,sogenannter,-,cosiddetto,so-called,3
katholisch,katholischer,am katholischsten,cattolico,catholic,3
selten,seltener,am seltensten,raro,rare,3
allgemein,allgemeiner,am allgemeinsten,generale,general,3
tot,toter,am totesten,morto,dead,2
griechisch,griechischer,am griechischsten,greco,Greek,3
ruhig,ruhiger,am ruhigsten,tranquillo,calm,2
still,stiller,am stillsten,silenzioso,silent,2
aktuell,aktueller,am aktuellsten,attuale,current,3
wissenschaftlich,wissenschaftlicher,am wissenschaftlichsten,scientifico,scientific,4
ständig,ständiger,am ständigsten,costante,constant,3
trocken,trockener,am trockensten,secco,dry,2
bunt,bunter,am buntesten,colorato,colorful,2
gelb,gelber,am gelbsten,giallo,yellow,2
technisch,technischer,am technischsten,tecnico,technician,3
privat,privater,am privatesten,privato,private,3
älter,älterer,am ältesten,più vecchio,older,2
lieb,lieber,am liebsten,caro,dear,2
arm,ärmer,am ärmsten,povero,poor,1
reich,reicher,am reichsten,ricco,Rich,1
ausländisch,ausländischer,am ausländischsten,straniero,stranger,3
neutral,neutraler,am neutralsten,neutrale,neutral,3
laut,lauter,am lautesten,rumoroso,noisy,2
flach,flacher,am flachsten,piatto,dish,1
leicht,leichter,am leichtesten,leggero/facile,light/easy,1
ökonomisch,ökonomischer,am ökonomischsten,economico,cheap,3
böse,böser,am bösesten,cattivo/arrabbiato,bad/angry,2
gesund,gesünder,am gesündesten,sano,healthy,2
krank,kränker,am kränksten,malato,ill,2
praktisch,praktischer,am praktischsten,pratico,practical,2
ideal,idealer,am idealsten,ideale,ideal,2
günstig,günstiger,am günstigsten,favorevole/conveniente,favorable/convenient,3
elektronisch,elektronischer,am elektronischsten,elettronico,electronic,3
japanisch,japanischer,am japanischsten,giapponese,Japanese,3
kommunal,kommunaler,am kommunalsten,comunale,municipal,3
östlich,östlicher,am östlichsten,orientale,Oriental,3
westlich,westlicher,am westlichsten,occidentale,Western,3
nördlich,nördlicher,am nördlichsten,settentrionale,Northern,3
südlich,südlicher,am südlichsten,meridionale,Southern,3
belgisch,belgischer,am belgischsten,belga,Belgian,3
polnisch,polnischer,am polnischsten,polacco,Polish,3
spanisch,spanischer,am spanischsten,spagnolo,Spanish,3
chinesisch,chinesischer,am chinesischsten,cinese,Chinese,3
christlich,christlicher,am christlichsten,cristiano,Christian,3
jüdisch,jüdischer,am jüdischsten,ebraico,Hebrew,3
türkisch,türkischer,am türkischsten,turco,Turkish,3
bitter,bitterer,am bittersten,amaro,bitter,2
sauer,saurer,am sauersten,acido,acid,2
schief,schiefer,am schiefsten,storto,wrong,3
glatt,glatter,am glattesten,liscio,smooth,2
rauh,rauher,am rauhesten,ruvido,rough,2
stumm,stummer,am stummsten,muto,silent,2
taub,tauber,am taubsten,sordo,deaf,2
dumm,dümmer,am dümmsten,stupido,stupid,2
klug,klüger,am klügsten,intelligente,intelligent,2
faul,fauler,am faulsten,pigro,lazy,3
fleißig,fleißiger,am fleißigsten,diligente,diligent,3
mutig,mutiger,am mutigsten,coraggioso,brave,2
feige,feiger,am feigsten,codardo,coward,2
ängstlich,ängstlicher,am ängstlichsten,pauroso,fearful,3
stolz,stolzer,am stolzesten,orgoglioso,proud,3
eitel,eitler,am eitelsten,vanitoso,vain,2
neidisch,neidischer,am neidischsten,invidioso,envious,4
eifersüchtig,eifersüchtiger,am eifersüchtigsten,geloso,jealous,4
freundlich,freundlicher,am freundlichsten,amichevole,friendly,2
höflich,höflicher,am höflichsten,cortese,courteous,3
unhöflich,unhöflicher,am unhöflichsten,scortese,rude,3
grob,gröber,am gröbsten,grossolano,crude,2
lustig,lustiger,am lustigsten,divertente,fun,2
traurig,trauriger,am traurigsten,triste,sad,2
fröhlich,fröhlicher,am fröhlichsten,allegro,cheerful,3
ernst,ernster,am ernstesten,serio,serious,2
komisch,komischer,am komischsten,strano/buffo,strange/funny,3
seltsam,seltsamer,am seltsamsten,strano,strange,3
merkwürdig,merkwürdiger,am merkwürdigsten,strano/bizzarro,strange/bizarre,3
billig,billiger,am billigsten,economico/a buon mercato,inexpensive,1
teuer,teurer,am teuersten,caro/costoso,expensive,1
nett,netter,am nettesten,carino/gentile,nice/kind,2
hübsch,hübscher,am hübschesten,carino/grazioso,charming/lovely,3
hässlich,hässlicher,am hässlichsten,brutto,ugly,3
elegant,eleganter,am elegantesten,elegante,elegant,3
bequem,bequemer,am bequemsten,comodo,comfortable,2
unbequem,unbequemer,am unbequemsten,scomodo,uncomfortable,2
schmutzig,schmutziger,am schmutzigsten,sporco,dirty,2
sauber,sauberer,am saubersten,pulito,clean,2
nass,nasser,am nassesten,bagnato,wet,2
feucht,feuchter,am feuchtesten,umido,moist,3
kühl,kühler,am kühlsten,fresco,fresh,2
kalt,kälter,am kältesten,freddo,cold,1
heiß,heißer,am heißesten,caldo,hot,1
hungrig,hungriger,am hungrigsten,affamato,hungry,2
durstig,durstiger,am durstigsten,assetato,thirsty,2
müde,müder,am müdesten,stanco,tired,2
wach,wacher,am wachsten,sveglio,awake,2
aktiv,aktiver,am aktivsten,attivo,active,2
passiv,passiver,am passivsten,passivo,passive,3
produktiv,produktiver,am produktivsten,produttivo,productive,3
kreativ,kreativer,am kreativsten,creativo,creative,3
positiv,positiver,am positivsten,positivo,positive,3
negativ,negativer,am negativsten,negativo,negative,3
optimistisch,optimistischer,am optimistischsten,ottimista,optimistic,3
pessimistisch,pessimistischer,am pessimistischsten,pessimista,pessimistic,4
realistisch,realistischer,am realistischsten,realista,realistic,3
romantisch,romantischer,am romantischsten,romantico,romantic,3
dramatisch,dramatischer,am dramatischsten,drammatico,Dramatic,3
komfortabel,komfortabler,am komfortabelsten,confortevole,comfortable,3
stabil,stabiler,am stabilsten,stabile,stable,3
instabil,instabiler,am instabilsten,instabile,unstable,3
flexibel,flexibler,am flexibelsten,flessibile,flexible,3
mobil,mobiler,am mobilsten,mobile,mobile,2
digital,digitaler,am digitalsten,digitale,digital,3
analog,analoger,am analogsten,analogico,analog,3
automatisch,automatischer,am automatischsten,automatico,automatic,3
manuell,manueller,am manuellsten,manuale,manual,3
mechanisch,mechanischer,am mechanischsten,meccanico,mechanic,3
elektrisch,elektrischer,am elektrischsten,elettrico,electric,3
chemisch,chemischer,am chemischsten,chimico,chemical,3
physisch,physischer,am physischsten,fisico,physical,3
psychisch,psychischer,am psychischsten,psichico,Psychic,3
mental,mentaler,am mentalsten,mentale,mental,3
emotional,emotionaler,am emotionalsten,emotivo,emotional,3
rational,rationaler,am rationalsten,razionale,rational,3
logisch,logischer,am logischsten,logico,logical,3
kritisch,kritischer,am kritischsten,critico,critical,3
skeptisch,skeptischer,am skeptischsten,scettico,skeptical,3
ironisch,ironischer,am ironischsten,ironico,ironic,3
sarkastisch,sarkastischer,am sarkastischsten,sarcastico,sarcastic,3
humorvoll,humorvoller,am humorvollsten,umoristico,humorous,3
ernst,ernster,am ernstesten,serio,serious,2
streng,strenger,am strengsten,severo/rigoroso,strict,3
locker,lockerer,am lockersten,rilassato,relaxed,2
entspannt,entspannter,am entspanntesten,rilassato,relaxed,3
nervös,nervöser,am nervösesten,nervoso,nervous,3
aufgeregt,aufgeregter,am aufgeregtesten,agitato/eccitato,agitated/excited,3
gelassen,gelassener,am gelassensten,calmo,calm,3
ruhig,ruhiger,am ruhigsten,tranquillo,calm,2
laut,lauter,am lautesten,rumoroso,noisy,2
leise,leiser,am leisesten,silenzioso/piano,quiet/soft,2
deutlich,deutlicher,am deutlichsten,chiaro,clear,3
undeutlich,undeutlicher,am undeutlichsten,poco chiaro,not clear,4
exakt,exakter,am exaktesten,esatto,exactly,2
genau,genauer,am genauesten,preciso,precise,3
ungenau,ungenauer,am ungenauen,impreciso,vague,3
präzise,präziser,am präzisesten,preciso,precise,3
vage,vager,am vagesten,vago,vague,2
konkret,konkreter,am konkretesten,concreto,concrete,3
abstrakt,abstrakter,am abstraktesten,astratto,abstract,3
theoretisch,theoretischer,am theoretischsten,teorico,theoretical,3
empirisch,empirischer,am empirischsten,empirico,empirical,3
hypothetisch,hypothetischer,am hypothetischsten,ipotetico,hypothetical,3
real,realer,am realsten,reale,real,2
virtuell,virtueller,am virtuellsten,virtuale,virtual,3
imaginär,imaginärer,am imaginärsten,immaginario,imaginary,3
tatsächlich,tatsächlicher,am tatsächlichsten,effettivo,actual,3
scheinbar,scheinbarer,am scheinbarsten,apparente,apparent,3
angeblich,angeblicher,am angeblichsten,presunto,presumed,3
mutmaßlich,mutmaßlicher,am mutmaßlichsten,presunto,presumed,3
vermutlich,vermutlicher,am vermutlichsten,presumibile,likely,3
wahrscheinlich,wahrscheinlicher,am wahrscheinlichsten,probabile,probable,3
unwahrscheinlich,unwahrscheinlicher,am unwahrscheinlichsten,improbabile,unlikely,3
sicher,sicherer,am sichersten,sicuro,safe,3
unsicher,unsicherer,am unsichersten,insicuro,unsafe,3
gewiss,gewisser,am gewissesten,certo,certainly,3
ungewiss,ungewisser,am ungewissesten,incerto,uncertain,3
zweifellos,zweifelloser,am zweifellosesten,indubbio,doubtless,3
zweifelhaft,zweifelhafter,am zweifelhaftesten,dubbio,doubt,3
fragwürdig,fragwürdiger,am fragwürdigsten,discutibile,doubtful,3
umstritten,umstrittener,am umstrittensten,controverso,controversial,3
eindeutig,eindeutiger,am eindeutigsten,inequivocabile,unequivocal,3
mehrdeutig,mehrdeutiger,am mehrdeutigsten,ambiguo,ambiguous,3
korrekt,korrekter,am korrektesten,corretto,correct,3
inkorrekt,inkorrekter,am inkorrektesten,scorretto,incorrect,3
falsch,falscher,am falschesten,falso/sbagliato,false/incorrect,1
wahr,wahrer,am wahrsten,vero,true,2
echt,echter,am echtesten,autentico,authentic,2
künstlich,künstlicher,am künstlichsten,artificiale,artificial,3
natürlich,natürlicher,am natürlichsten,naturale,natural,3
spontan,spontaner,am spontansten,spontaneo,spontaneous,3
geplant,geplanter,am geplantesten,pianificato,planned,3
organisiert,organisierter,am organisiertesten,organizzato,organized,3
chaotisch,chaotischer,am chaotischsten,caotico,chaotic,3
ordentlich,ordentlicher,am ordentlichsten,ordinato,ordered,3
unordentlich,unordentlicher,am unordentlichsten,disordinato,disordered,3
systematisch,systematischer,am systematischsten,sistematico,systematic,3
zufällig,zufälliger,am zufälligsten,casuale,casual,3
absichtlich,absichtlicher,am absichtlichsten,intenzionale,intentional,3
unabsichtlich,unabsichtlicher,am unabsichtlichsten,involontario,unintentional,4
bewusst,bewusster,am bewusstesten,consapevole,aware,3
unbewusst,unbewusster,am unbewusstesten,inconsapevole,unconscious,4
