Verbo,Regolare,Significato,English,Präteritum,Participio passato,Perfetto,Caso,Riflessivo,Frequenza
halten,no,tenere,to hold/keep,hielt,gehalten,hat gehalten,Akkusativ,no,2
nennen,no,nominare,to name/call,nannte,genannt,hat genannt,Akkusativ,no,2
mögen,no,piacere,to like,mochte,gemocht,hat gemocht,Akkusativ,no,1
zeigen,sì,mostrare,to show,zeigte,gezeigt,hat gezeigt,Dativ + Akkusativ,no,1
führen,sì,condurre,to lead/conduct,führte,geführt,hat geführt,Akkusativ,no,2
sprechen,no,parlare,to speak/talk,sprach,gesprochen,hat gesprochen,Akkusativ,no,1
bringen,no,portare,to bring/carry,brachte,gebracht,hat gebracht,Dativ + Akkusativ,no,1
leben,sì,vivere,to live,lebte,gelebt,hat gelebt,-,no,1
fahren,no,guidare/andare,to drive/go,fuhr,gefahren,ist gefahren,Akkusativ,no,1
meinen,sì,pensare/opinare,to think/mean,meinte,gemeint,hat gemeint,Akkusativ,no,1
fragen,sì,chiedere,to ask,fragte,gefragt,hat gefragt,Akkusativ,no,1
kennen,no,conoscere,to know,kannte,gekannt,hat gekannt,Akkusativ,no,1
gelten,no,valere,to be worth,galt,gegolten,hat gegolten,Dativ,no,2
stellen,sì,mettere,to put/place,stellte,gestellt,hat gestellt,Akkusativ,no,1
spielen,sì,giocare,to play,spielte,gespielt,hat gespielt,Akkusativ,no,1
arbeiten,sì,lavorare,to work,arbeitete,gearbeitet,hat gearbeitet,-,no,1
brauchen,sì,aver bisogno,to need,brauchte,gebraucht,hat gebraucht,Akkusativ,no,1
folgen,sì,seguire,to follow,folgte,gefolgt,ist gefolgt,Dativ,no,2
lernen,sì,imparare,to learn,lernte,gelernt,hat gelernt,Akkusativ,no,1
bestehen,no,consistere,to consist,bestand,bestanden,hat bestanden,Akkusativ,no,2
verstehen,no,capire,to understand,verstand,verstanden,hat verstanden,Akkusativ,no,1
setzen,sì,mettere/porre,to put/place,setzte,gesetzt,hat gesetzt,Akkusativ,sì,1
bekommen,no,ricevere,to receive,bekam,bekommen,hat bekommen,Akkusativ,no,1
beginnen,no,iniziare,to begin/start,begann,begonnen,hat begonnen,Akkusativ,no,1
erzählen,sì,raccontare,to tell,erzählte,erzählt,hat erzählt,Dativ + Akkusativ,no,1
versuchen,sì,provare,to try/test,versuchte,versucht,hat versucht,Akkusativ,no,1
schreiben,no,scrivere,to write,schrieb,geschrieben,hat geschrieben,Dativ + Akkusativ,no,1
laufen,no,correre,to run,lief,gelaufen,ist gelaufen,-,no,1
erklären,sì,spiegare,to explain,erklärte,erklärt,hat erklärt,Dativ + Akkusativ,no,2
entsprechen,no,corrispondere,to correspond,entsprach,entsprochen,hat entsprochen,Dativ,no,3
sitzen,no,sedere,to sit,saß,gesessen,hat gesessen,-,no,1
ziehen,no,tirare,to pull,zog,gezogen,hat/ist gezogen,Akkusativ,no,2
scheinen,no,sembrare,to seem,schien,geschienen,hat geschienen,-,no,2
fallen,no,cadere,to fall,fiel,gefallen,ist gefallen,-,no,2
gehören,sì,appartenere,to belong,gehörte,gehört,hat gehört,Dativ,no,2
entstehen,no,nascere/sorgere,to arise/emerge,entstand,entstanden,ist entstanden,-,no,2
erhalten,no,ricevere,to receive,erhielt,erhalten,hat erhalten,Akkusativ,no,2
treffen,no,incontrare,to meet,traf,getroffen,hat getroffen,Akkusativ,sì,1
suchen,sì,cercare,to search/try,suchte,gesucht,hat gesucht,Akkusativ,no,1
legen,sì,posare,to lay/put down,legte,gelegt,hat gelegt,Akkusativ,sì,1
vorstellen,sì,presentare,to present,stellte vor,vorgestellt,hat vorgestellt,Dativ + Akkusativ,sì,1
handeln,sì,agire,to act,handelte,gehandelt,hat gehandelt,-,no,2
erreichen,sì,raggiungere,to reach,erreichte,erreicht,hat erreicht,Akkusativ,no,2
tragen,no,portare,to bring/carry,trug,getragen,hat getragen,Akkusativ,no,1
schaffen,sì/no,creare/farcela,to creare/farcela,schuf/schaffte,geschaffen/geschafft,hat geschaffen/geschafft,Akkusativ,no,1
lesen,no,leggere,to read,las,gelesen,hat gelesen,Akkusativ,no,1
verlieren,no,perdere,to lose,verlor,verloren,hat verloren,Akkusativ,no,1
darstellen,sì,rappresentare,to represent,stellte dar,dargestellt,hat dargestellt,Akkusativ,no,3
erkennen,no,riconoscere,to recognize,erkannte,erkannt,hat erkannt,Akkusativ,no,2
entwickeln,sì,sviluppare,to develop,entwickelte,entwickelt,hat entwickelt,Akkusativ,sì,2
reden,sì,parlare,to speak/talk,redete,geredet,hat geredet,-,no,1
aussehen,no,apparire,to appear,sah aus,ausgesehen,hat ausgesehen,-,no,1
erscheinen,no,apparire,to appear,erschien,erschienen,ist erschienen,-,no,2
bilden,sì,formare,to form,bildete,gebildet,hat gebildet,Akkusativ,sì,2
anfangen,no,iniziare,to begin/start,fing an,angefangen,hat angefangen,Akkusativ,no,1
erwarten,sì,aspettarsi,to aspettarsi,erwartete,erwartet,hat erwartet,Akkusativ,no,2
wohnen,sì,abitare,to live/dwell,wohnte,gewohnt,hat gewohnt,-,no,1
betreffen,no,riguardare,to concern,betraf,betroffen,hat betroffen,Akkusativ,no,2
warten,sì,aspettare,to wait,wartete,gewartet,hat gewartet,Akkusativ,no,1
vergehen,no,passare (tempo),to passare,verging,vergangen,ist vergangen,-,no,2
helfen,no,aiutare,to help,half,geholfen,hat geholfen,Dativ,no,1
gewinnen,no,vincere,to win,gewann,gewonnen,hat gewonnen,Akkusativ,no,2
schließen,no,chiudere,to close,schloss,geschlossen,hat geschlossen,Akkusativ,no,1
fühlen,sì,sentire,to feel/hear,fühlte,gefühlt,hat gefühlt,Akkusativ,sì,1
bieten,no,offrire,to offer,bot,geboten,hat geboten,Dativ + Akkusativ,no,2
interessieren,sì,interessare,to interest,interessierte,interessiert,hat interessiert,Akkusativ,sì,1
erinnern,sì,ricordare,to remember,erinnerte,erinnert,hat erinnert,Akkusativ,sì,1
ergeben,no,risultare,to result/turn out,ergab,ergeben,hat ergeben,Akkusativ,sì,2
anbieten,no,offrire,to offer,bot an,angeboten,hat angeboten,Dativ + Akkusativ,no,2
studieren,sì,studiare,to study,studierte,studiert,hat studiert,Akkusativ,no,1
verbinden,no,collegare,to connect,verband,verbunden,hat verbunden,Akkusativ,no,2
ansehen,no,guardare,to look/watch,sah an,angesehen,hat angesehen,Akkusativ,sì,1
fehlen,sì,mancare,to miss/lack,fehlte,gefehlt,hat gefehlt,Dativ,no,2
bedeuten,sì,significare,to mean,bedeutete,bedeutet,hat bedeutet,Akkusativ,no,2
vergleichen,no,paragonare,to paragonare,verglich,verglichen,hat verglichen,Akkusativ,no,2
schlafen,no,dormire,to sleep,schlief,geschlafen,hat geschlafen,-,no,1
trinken,no,bere,to drink,trank,getrunken,hat getrunken,Akkusativ,no,1
essen,no,mangiare,to eat,aß,gegessen,hat gegessen,Akkusativ,no,1
lieben,sì,amare,to love,liebte,geliebt,hat geliebt,Akkusativ,no,1
hören,sì,sentire,to feel/hear,hörte,gehört,hat gehört,Akkusativ,no,1
kaufen,sì,comprare,to buy,kaufte,gekauft,hat gekauft,Dativ + Akkusativ,no,1
verkaufen,sì,vendere,to sell,verkaufte,verkauft,hat verkauft,Dativ + Akkusativ,no,1
öffnen,sì,aprire,to open,öffnete,geöffnet,hat geöffnet,Akkusativ,no,1
ändern,sì,cambiare,to change,änderte,geändert,hat geändert,Akkusativ,sì,1
steigen,no,salire,to go up/climb,stieg,gestiegen,ist gestiegen,-,no,2
hängen,no,appendere,to appendere,hing,gehangen,hat gehangen,-,no,2
achten,sì,fare attenzione,to fare,achtete,geachtet,hat geachtet,Akkusativ,no,2
benutzen,sì,usare,to usare,benutzte,benutzt,hat benutzt,Akkusativ,no,1
verwenden,no,utilizzare,to use,verwandte/verwendete,verwandt/verwendet,hat verwandt/verwendet,Akkusativ,no,2
bestimmen,sì,determinare,to determine,bestimmte,bestimmt,hat bestimmt,Akkusativ,no,2
untersuchen,sì,esaminare,to examine,untersuchte,untersucht,hat untersucht,Akkusativ,no,2
betrachten,sì,considerare,to consider,betrachtete,betrachtet,hat betrachtet,Akkusativ,no,2
beschreiben,no,descrivere,to describe,beschrieb,beschrieben,hat beschrieben,Akkusativ,no,2
beweisen,no,dimostrare,to demonstrate,bewies,bewiesen,hat bewiesen,Akkusativ,no,2
entscheiden,no,decidere,to decide,entschied,entschieden,hat entschieden,Akkusativ,sì,1
erfahren,no,venire a sapere,to venire,erfuhr,erfahren,hat erfahren,Akkusativ,no,2
genießen,no,godere,to enjoy,genoss,genossen,hat genossen,Akkusativ,no,2
behalten,no,mantenere,to maintain,behielt,behalten,hat behalten,Akkusativ,no,2
begegnen,sì,incontrare,to meet,begegnete,begegnet,ist begegnet,Dativ,no,2
bemerken,sì,notare,to notare,bemerkte,bemerkt,hat bemerkt,Akkusativ,no,2
beschließen,no,decidere,to decide,beschloss,beschlossen,hat beschlossen,Akkusativ,no,2
bewegen,sì/no,muovere,to move,bewegte/bewog,bewegt/bewogen,hat bewegt/bewogen,Akkusativ,sì,1
beziehen,no,riferirsi,to riferirsi,bezog,bezogen,hat bezogen,Akkusativ,sì,2
bitten,no,pregare,to pray/beg,bat,gebeten,hat gebeten,Akkusativ,no,1
fördern,sì,promuovere,to promote,förderte,gefördert,hat gefördert,Akkusativ,no,2
fordern,sì,esigere,to demand,forderte,gefordert,hat gefordert,Akkusativ,no,2
sorgen,sì,preoccuparsi,to worry,sorgte,gesorgt,hat gesorgt,Akkusativ,sì,1
freuen,sì,rallegrarsi,to rallegrarsi,freute,gefreut,hat gefreut,Akkusativ,sì,1
ärgern,sì,irritare,to irritate,ärgerte,geärgert,hat geärgert,Akkusativ,sì,2
wundern,sì,stupirsi,to stupirsi,wunderte,gewundert,hat gewundert,Akkusativ,sì,2
hoffen,sì,sperare,to hope,hoffte,gehofft,hat gehofft,Akkusativ,no,1
wünschen,sì,desiderare,to wish/desire,wünschte,gewünscht,hat gewünscht,Dativ + Akkusativ,sì,1
leuchten,sì,illuminare,to illuminare,leuchtete,geleuchtet,hat geleuchtet,-,no,3
brennen,no,bruciare,to bruciare,brannte,gebrannt,hat gebrannt,-,no,2
bauen,sì,costruire,to build,baute,gebaut,hat gebaut,Akkusativ,no,2
zerstören,sì,distruggere,to distruggere,zerstörte,zerstört,hat zerstört,Akkusativ,no,2
retten,sì,salvare,to salvare,rettete,gerettet,hat gerettet,Akkusativ,no,2
töten,sì,uccidere,to uccidere,tötete,getötet,hat getötet,Akkusativ,no,3
sterben,no,morire,to die,starb,gestorben,ist gestorben,-,no,2
aufwachsen,no,crescere,to grow,wuchs auf,aufgewachsen,ist aufgewachsen,-,no,2
pflegen,sì,curare,to curare,pflegte,gepflegt,hat gepflegt,Akkusativ,no,3
heilen,sì,guarire,to guarire,heilte,geheilt,hat geheilt,Akkusativ,no,3
leiden,no,soffrire,to suffer,litt,gelitten,hat gelitten,Akkusativ,no,2
schmerzen,sì,far male,to far,schmerzte,geschmerzt,hat geschmerzt,-,no,3
lachen,sì,ridere,to laugh,lachte,gelacht,hat gelacht,-,no,1
weinen,sì,piangere,to cry,weinte,geweint,hat geweint,-,no,2
lächeln,sì,sorridere,to smile,lächelte,gelächelt,hat gelächelt,-,no,2
grüßen,sì,salutare,to greet,grüßte,gegrüßt,hat gegrüßt,Akkusativ,no,1
danken,sì,ringraziare,to thank,dankte,gedankt,hat gedankt,Dativ,no,1
entschuldigen,sì,scusare,to excuse,entschuldigte,entschuldigt,hat entschuldigt,Akkusativ,sì,1
verzeihen,no,perdonare,to forgive,verzieh,verziehen,hat verziehen,Dativ,no,2
versprechen,no,promettere,to promettere,versprach,versprochen,hat versprochen,Dativ + Akkusativ,no,1
drohen,sì,minacciare,to minacciare,drohte,gedroht,hat gedroht,Dativ,no,2
warnen,sì,avvertire,to avvertire,warnte,gewarnt,hat gewarnt,Akkusativ,no,2
loben,sì,lodare,to praise,lobte,gelobt,hat gelobt,Akkusativ,no,2
kritisieren,sì,criticare,to criticize,kritisierte,kritisiert,hat kritisiert,Akkusativ,no,2
antworten,sì,rispondere,to answer/reply,antwortete,geantwortet,hat geantwortet,Dativ,no,1
reagieren,sì,reagire,to reagire,reagierte,reagiert,hat reagiert,Akkusativ,no,2
diskutieren,sì,discutere,to discutere,diskutierte,diskutiert,hat diskutiert,Akkusativ,no,2
streiten,no,litigare,to litigare,stritt,gestritten,hat gestritten,-,sì,2
kämpfen,sì,combattere,to fight,kämpfte,gekämpft,hat gekämpft,-,no,2
siegen,sì,vincere,to win,siegte,gesiegt,hat gesiegt,-,no,3
verteidigen,sì,difendere,to defend,verteidigte,verteidigt,hat verteidigt,Akkusativ,no,2
angreifen,no,attaccare,to attack,griff an,angegriffen,hat angegriffen,Akkusativ,no,2
schützen,sì,proteggere,to protect,schützte,geschützt,hat geschützt,Akkusativ,no,2
riskieren,sì,rischiare,to rischiare,riskierte,riskiert,hat riskiert,Akkusativ,no,2
wagen,sì,osare,to osare,wagte,gewagt,hat gewagt,Akkusativ,no,3
trauen,sì,fidarsi,to fidarsi,traute,getraut,hat getraut,Dativ,sì,2
vertrauen,sì,aver fiducia,to aver,vertraute,vertraut,hat vertraut,Dativ,no,2
zweifeln,sì,dubitare,to dubitare,zweifelte,gezweifelt,hat gezweifelt,Akkusativ,no,3
überzeugen,sì,convincere,to convincere,überzeugte,überzeugt,hat überzeugt,Akkusativ,no,2
beeinflussen,sì,influenzare,to influenzare,beeinflusste,beeinflusst,hat beeinflusst,Akkusativ,no,2
scheitern,sì,fallire,to fallire,scheiterte,gescheitert,ist gescheitert,-,no,2
gelingen,no,riuscire,to succeed/manage,gelang,gelungen,ist gelungen,Dativ,no,2
misslingen,no,fallire,to fallire,misslang,misslungen,ist misslungen,Dativ,no,3
klappen,sì,funzionare,to work/function,klappte,geklappt,hat geklappt,-,no,2
funktionieren,sì,funzionare,to work/function,funktionierte,funktioniert,hat funktioniert,-,no,2
passen,sì,andare bene,to andare,passte,gepasst,hat gepasst,Dativ,no,1
stimmen,sì,essere giusto,to essere,stimmte,gestimmt,hat gestimmt,-,no,2
zählen,sì,contare,to count,zählte,gezählt,hat gezählt,Akkusativ,no,1
rechnen,sì,calcolare,to calcolare,rechnete,gerechnet,hat gerechnet,Akkusativ,no,2
messen,no,misurare,to measure,maß,gemessen,hat gemessen,Akkusativ,no,2
wiegen,no,pesare,to weigh,wog,gewogen,hat gewogen,Akkusativ,no,2
kosten,sì,costare,to costare,kostete,gekostet,hat gekostet,Akkusativ,no,1
zahlen,sì,pagare,to pay,zahlte,gezahlt,hat gezahlt,Akkusativ,no,1
sparen,sì,risparmiare,to risparmiare,sparte,gespart,hat gespart,Akkusativ,no,2
ausgeben,no,spendere,to spendere,gab aus,ausgegeben,hat ausgegeben,Akkusativ,no,2
verdienen,sì,guadagnare,to guadagnare,verdiente,verdient,hat verdient,Akkusativ,no,1
investieren,sì,investire,to investire,investierte,investiert,hat investiert,Akkusativ,no,2
leihen,no,prestare,to prestare,lieh,geliehen,hat geliehen,Dativ + Akkusativ,no,2
borgen,sì,prendere in prestito,to prendere,borgte,geborgt,hat geborgt,Dativ + Akkusativ,no,3
schulden,sì,dovere (denaro),to dovere,schuldete,geschuldet,hat geschuldet,Dativ + Akkusativ,no,3
besitzen,no,possedere,to possedere,besaß,besessen,hat besessen,Akkusativ,no,2
teilen,sì,dividere,to divide,teilte,geteilt,hat geteilt,Akkusativ,no,1
trennen,sì,separare,to separate,trennte,getrennt,hat getrennt,Akkusativ,sì,1
sammeln,sì,raccogliere,to collect/gather,sammelte,gesammelt,hat gesammelt,Akkusativ,no,2
verteilen,sì,distribuire,to distribute,verteilte,verteilt,hat verteilt,Akkusativ,no,2
ordnen,sì,ordinare,to order,ordnete,geordnet,hat geordnet,Akkusativ,no,2
organisieren,sì,organizzare,to organize,organisierte,organisiert,hat organisiert,Akkusativ,no,2
planen,sì,pianificare,to pianificare,plante,geplant,hat geplant,Akkusativ,no,1
vorbereiten,sì,preparare,to prepare,bereitete vor,vorbereitet,hat vorbereitet,Akkusativ,sì,1
durchführen,sì,eseguire,to eseguire,führte durch,durchgeführt,hat durchgeführt,Akkusativ,no,2
ausführen,sì,eseguire,to eseguire,führte aus,ausgeführt,hat ausgeführt,Akkusativ,no,2
erfüllen,sì,compiere,to compiere,erfüllte,erfüllt,hat erfüllt,Akkusativ,no,2
vollenden,sì,completare,to completare,vollendete,vollendet,hat vollendet,Akkusativ,no,3
beenden,sì,terminare,to terminare,beendete,beendet,hat beendet,Akkusativ,no,2
aufhören,sì,smettere,to smettere,hörte auf,aufgehört,hat aufgehört,-,no,1
abbrechen,no,interrompere,to interrompere,brach ab,abgebrochen,hat abgebrochen,Akkusativ,no,2
fortsetzen,sì,continuare,to continue,setzte fort,fortgesetzt,hat fortgesetzt,Akkusativ,no,2
weitermachen,sì,continuare,to continue,machte weiter,weitergemacht,hat weitergemacht,-,no,2
pausieren,sì,fare una pausa,to fare,pausierte,pausiert,hat pausiert,-,no,2
ruhen,sì,riposare,to riposare,ruhte,geruht,hat geruht,-,no,3
entspannen,sì,rilassarsi,to rilassarsi,entspannte,entspannt,hat entspannt,Akkusativ,sì,2
erholen,sì,riprendersi,to riprendersi,erholte,erholt,hat erholt,Akkusativ,sì,2
ausruhen,sì,riposarsi,to rest,ruhte aus,ausgeruht,hat ausgeruht,Akkusativ,sì,2
träumen,sì,sognare,to sognare,träumte,geträumt,hat geträumt,Akkusativ,no,1
erwachen,sì,svegliarsi,to wake up,erwachte,erwacht,ist erwacht,-,no,3
aufwachen,sì,svegliarsi,to wake up,wachte auf,aufgewacht,ist aufgewacht,-,no,1
aufstehen,no,alzarsi,to get up,stand auf,aufgestanden,ist aufgestanden,-,no,1
aufwecken,sì,svegliare,to svegliare,weckte auf,aufgeweckt,hat aufgeweckt,Akkusativ,no,2
anziehen,no,vestirsi,to dress oneself,zog an,angezogen,hat angezogen,Akkusativ,sì,1
ausziehen,no,spogliarsi,to spogliarsi,zog aus,ausgezogen,hat ausgezogen,Akkusativ,sì,1
kleiden,sì,vestire,to dress,kleidete,gekleidet,hat gekleidet,Akkusativ,sì,3
waschen,no,lavare,to wash,wusch,gewaschen,hat gewaschen,Akkusativ,sì,1
putzen,sì,pulire,to clean,putzte,geputzt,hat geputzt,Akkusativ,no,1
reinigen,sì,pulire,to clean,reinigte,gereinigt,hat gereinigt,Akkusativ,no,2
trocknen,sì,asciugare,to dry,trocknete,getrocknet,hat getrocknet,Akkusativ,no,2
bügeln,sì,stirare,to stirare,bügelte,gebügelt,hat gebügelt,Akkusativ,no,2
nähen,sì,cucire,to cucire,nähte,genäht,hat genäht,Akkusativ,no,3
flicken,sì,rammendare,to rammendare,flickte,geflickt,hat geflickt,Akkusativ,no,4
kochen,sì,cucinare,to cook,kochte,gekocht,hat gekocht,Akkusativ,no,1
braten,no,friggere,to friggere,briet,gebraten,hat gebraten,Akkusativ,no,2
backen,no,cuocere al forno,to cuocere,buk/backte,gebacken,hat gebacken,Akkusativ,no,2
grillen,sì,grigliare,to grigliare,grillte,gegrillt,hat gegrillt,Akkusativ,no,2
zubereiten,sì,preparare,to prepare,bereitete zu,zubereitet,hat zubereitet,Akkusativ,no,2
servieren,sì,servire,to serve,servierte,serviert,hat serviert,Dativ + Akkusativ,no,2
probieren,sì,assaggiare,to taste,probierte,probiert,hat probiert,Akkusativ,no,1
schmecken,sì,avere sapore,to avere,schmeckte,geschmeckt,hat geschmeckt,Dativ,no,1
riechen,no,odorare,to odorare,roch,gerochen,hat gerochen,Akkusativ,no,1
duften,sì,profumare,to profumare,duftete,geduftet,hat geduftet,-,no,3
stinken,no,puzzare,to puzzare,stank,gestunken,hat gestunken,-,no,3
atmen,sì,respirare,to respirare,atmete,geatmet,hat geatmet,-,no,2
husten,sì,tossire,to tossire,hustete,gehustet,hat gehustet,-,no,2
niesen,sì,starnutire,to starnutire,nieste,geniest,hat geniest,-,no,3
üben,sì,esercitare,to esercitare,übte,geübt,hat geübt,Akkusativ,no,1
trainieren,sì,allenare,to allenare,trainierte,trainiert,hat trainiert,Akkusativ,no,1
unterrichten,sì,insegnare,to teach,unterrichtete,unterrichtet,hat unterrichtet,Akkusativ,no,2
lehren,sì,insegnare,to teach,lehrte,gelehrt,hat gelehrt,Dativ + Akkusativ,no,2
beibringen,no,insegnare,to teach,brachte bei,beigebracht,hat beigebracht,Dativ + Akkusativ,no,2
ausbilden,sì,formare,to form,bildete aus,ausgebildet,hat ausgebildet,Akkusativ,no,2
erziehen,no,educare,to educare,erzog,erzogen,hat erzogen,Akkusativ,no,2
präsentieren,sì,presentare,to present,präsentierte,präsentiert,hat präsentiert,Dativ + Akkusativ,no,2
demonstrieren,sì,dimostrare,to demonstrate,demonstrierte,demonstriert,hat demonstriert,Akkusativ,no,2
zeigen,sì,indicare,to indicate,zeigte,gezeigt,hat gezeigt,Dativ + Akkusativ,no,1
empfehlen,no,raccomandare,to raccomandare,empfahl,empfohlen,hat empfohlen,Dativ + Akkusativ,no,2
raten,no,consigliare,to advise,riet,geraten,hat geraten,Dativ,no,2
vorschlagen,no,proporre,to propose,schlug vor,vorgeschlagen,hat vorgeschlagen,Dativ + Akkusativ,no,2
beraten,no,consigliare,to advise,beriet,beraten,hat beraten,Akkusativ,no,2
informieren,sì,informare,to inform,informierte,informiert,hat informiert,Akkusativ,no,2
mitteilen,sì,comunicare,to communicate,teilte mit,mitgeteilt,hat mitgeteilt,Dativ + Akkusativ,no,2
melden,sì,annunciare,to announce,meldete,gemeldet,hat gemeldet,Akkusativ,sì,2
benachrichtigen,sì,avvisare,to avvisare,benachrichtigte,benachrichtigt,hat benachrichtigt,Akkusativ,no,2
warnen,sì,avvertire,to avvertire,warnte,gewarnt,hat gewarnt,Akkusativ,no,2
mahnen,sì,ammonire,to ammonire,mahnte,gemahnt,hat gemahnt,Akkusativ,no,3
ermahnen,sì,ammonire,to ammonire,ermahnte,ermahnt,hat ermahnt,Akkusativ,no,3
ermahnten,sì,esortare,to esortare,ermahnte,ermahnt,hat ermahnt,Akkusativ,no,3
bieten,no,offrire,to offer,bot,geboten,hat geboten,Dativ + Akkusativ,no,2
anbieten,no,offrire,to offer,bot an,angeboten,hat angeboten,Dativ + Akkusativ,no,2
schenken,sì,regalare,to regalare,schenkte,geschenkt,hat geschenkt,Dativ + Akkusativ,no,1
spenden,sì,donare,to donare,spendete,gespendet,hat gespendet,Dativ + Akkusativ,no,2
widmen,sì,dedicare,to dedicate,widmete,gewidmet,hat gewidmet,Dativ + Akkusativ,no,3
opfern,sì,sacrificare,to sacrificare,opferte,geopfert,hat geopfert,Akkusativ,no,3
verleihen,no,prestare/conferire,to prestare/conferire,verlieh,verliehen,hat verliehen,Dativ + Akkusativ,no,3
gewähren,sì,concedere,to concedere,gewährte,gewährt,hat gewährt,Dativ + Akkusativ,no,3
erlauben,sì,permettere,to allow/permit,erlaubte,erlaubt,hat erlaubt,Dativ + Akkusativ,no,1
gestatten,sì,permettere,to allow/permit,gestattete,gestattet,hat gestattet,Dativ + Akkusativ,no,3
genehmigen,sì,approvare,to approvare,genehmigte,genehmigt,hat genehmigt,Akkusativ,no,2
verbieten,no,vietare,to vietare,verbot,verboten,hat verboten,Dativ + Akkusativ,no,2
untersagen,sì,proibire,to proibire,untersagte,untersagt,hat untersagt,Dativ + Akkusativ,no,3
hindern,sì,impedire,to impedire,hinderte,gehindert,hat gehindert,Akkusativ,no,2
verhindern,sì,impedire,to impedire,verhinderte,verhindert,hat verhindert,Akkusativ,no,2
stören,sì,disturbare,to disturbare,störte,gestört,hat gestört,Akkusativ,no,2
unterbrechen,no,interrompere,to interrompere,unterbrach,unterbrochen,hat unterbrochen,Akkusativ,no,2
fortfahren,no,continuare,to continue,fuhr fort,fortgefahren,ist fortgefahren,-,no,3
weitergehen,no,continuare,to continue,ging weiter,weitergegangen,ist weitergegangen,-,no,2
aufgeben,no,rinunciare,to give up,gab auf,aufgegeben,hat aufgegeben,Akkusativ,no,2
verzichten,sì,rinunciare,to give up,verzichtete,verzichtet,hat verzichtet,Akkusativ,no,2
vermeiden,no,evitare,to avoid,vermied,vermieden,hat vermieden,Akkusativ,no,2
verweigern,sì,rifiutare,to refuse,verweigerte,verweigert,hat verweigert,Akkusativ,no,2
ablehnen,sì,rifiutare,to refuse,lehnte ab,abgelehnt,hat abgelehnt,Akkusativ,no,2
zurückweisen,no,respingere,to respingere,wies zurück,zurückgewiesen,hat zurückgewiesen,Akkusativ,no,3
akzeptieren,sì,accettare,to accept,akzeptierte,akzeptiert,hat akzeptiert,Akkusativ,no,2
annehmen,no,accettare,to accept,nahm an,angenommen,hat angenommen,Akkusativ,no,1
empfangen,no,ricevere,to receive,empfing,empfangen,hat empfangen,Akkusativ,no,3
begrüßen,sì,salutare,to greet,begrüßte,begrüßt,hat begrüßt,Akkusativ,no,1
willkommen heißen,no,dare il benvenuto,to dare,hieß willkommen,willkommen geheißen,hat willkommen geheißen,Akkusativ,no,3
verabschieden,sì,congedarsi,to congedarsi,verabschiedete,verabschiedet,hat verabschiedet,Akkusativ,sì,1
verlassen,no,lasciare,to let/leave,verließ,verlassen,hat verlassen,Akkusativ,no,1
weggehen,no,andare via,to andare,ging weg,weggegangen,ist weggegangen,-,no,1
fortgehen,no,andare via,to andare,ging fort,fortgegangen,ist fortgegangen,-,no,2
abreisen,sì,partire,to leave/depart,reiste ab,abgereist,ist abgereist,-,no,2
abfahren,no,partire,to leave/depart,fuhr ab,abgefahren,ist abgefahren,-,no,2
ankommen,no,arrivare,to arrive,kam an,angekommen,ist angekommen,-,no,1
zurückkommen,no,tornare,to return,kam zurück,zurückgekommen,ist zurückgekommen,-,no,1
